"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"499","ILK-A4-LM-2A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-LM-2A_S3","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  2A: amplicon 18S, ITS, BR5, F230"
"501","ILK-A4-LM-2B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-LM-2B_S4","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  2B: amplicon 18S, ITS, BR5, F230"
"503","ILK-A4-LM-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-LM-3A_S27","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"505","ILK-A4-LM-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-LM-3B_S28","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","litter layer[ENVO:01000338]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"507","ILK-A4-MIN-2A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-MIN-2A_S7","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  2A: amplicon 18S, ITS, BR5, F230"
"509","ILK-A4-MIN-2B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-MIN-2B_S8","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  2B: amplicon 18S, ITS, BR5, F230"
"511","ILK-A4-MIN-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-MIN-3A_S31","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  3A: amplicon 18S, ITS, BR5, F230"
"513","ILK-A4-MIN-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-A4-MIN-3B_S32","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","5.6 t/ha Bottom wood ash","replicate  3B: amplicon 18S, ITS, BR5, F230"
"515","ILK-C-FH-3A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-C-FH-3A_S11","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","","replicate  3A: amplicon 18S, ITS, BR5, F230"
"517","ILK-C-FH-3B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-C-FH-3B_S12","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","","replicate  3B: amplicon 18S, ITS, BR5, F230"
"519","ILK-C-FH-4A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-C-FH-4A_S35","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","","replicate  4A: amplicon 18S, ITS, BR5, F230"
"521","ILK-C-FH-4B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-C-FH-4B_S36","","soil metagenome",2017,"~10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","47.7 N 83.6 W","","replicate  4B: amplicon 18S, ITS, BR5, F230"
