"","sample_name","library_id"
"258","ALS-A1-LFH-3","138_S138"
"260","ALS-C-LFH-3","137_S137"
"262","ALS-A1-LFH-2","135_S135"
"263","ALS-A1-LFH-1","132_S132"
"265","ALS-A2-LFH-1","133_S133"
"267","ALS-C-LFH-1","131_S131"
"270","SRD-A2-MIN-2","12_S12"
"271","ALN-A2-LFH-3","130_S130"
"274","ALN-A1-LFH-3","129_S129"
"275","ALN-C-LFH-3","128_S128"
"276","ALS-C-LFH-2","134_S134"
"277","ALN-A2-LFH-2","127_S127"
"279","ALN-A1-LFH-2","126_S126"
"280","ALN-C-LFH-2","125_S125"
"281","ALN-A2-LFH-1","124_S124"
"287","MSK-A2-LFH-3","120_S120"
"288","MSK-A2-MIN-3","121_S121"
"290","ALN-A1-LFH-1","123_S123"
"291","ALN-C-LFH-1","122_S122"
"296","SRD-A2-LFH-2","11_S11"
"297","MSK-A1-MIN-3","119_S119"
"300","MSK-A1-LFH-3","118_S118"
"301","MSK-C-MIN-3","117_S117"
"302","MSK-C-LFH-3","116_S116"
"304","MSK-A2-MIN-2","115_S115"
"307","MSK-A1-LFH-2","112_S112"
"308","MSK-A1-MIN-2","113_S113"
"309","MSK-A2-LFH-2","114_S114"
"312","MSK-C-LFH-2","110_S110"
"314","MSK-C-MIN-2","111_S111"
"316","SRD-A1-MIN-2","10_S10"
"318","MSK-A2-MIN-1","109_S109"
"320","MSK-A2-LFH-1","108_S108"
"322","MSK-A1-MIN-1","107_S107"
"323","MSK-A1-LFH-1","106_S106"
"327","MSK-C-LFH-1","104_S104"
"330","MSK-C-MIN-1","105_S105"
"332","PLD-C-LFH-5","102_S102"
"334","PLD-A-LFH-5","103_S103"
"335","PLD-A-LFH-4","101_S101"
"337","PLD-C-LFH-4","100_S100"
"343","ILK-A1-FH-1","Pinkney-Ashnet-ILK-A1-FH-1A_S9"
"345","ILK-A1-FH-1","Pinkney-Ashnet-ILK-A1-FH-1B_S10"
"347","ILK-A1-FH-2","Pinkney-Ashnet-ILK-A1-FH-2A_S33"
"349","ILK-A1-FH-2","Pinkney-Ashnet-ILK-A1-FH-2B_S34"
"351","ILK-A1-LM-1","Pinkney-Ashnet-ILK-A1-LM-1A_S7"
"353","ILK-A1-LM-1","Pinkney-Ashnet-ILK-A1-LM-1B_S8"
"355","ILK-A1-LM-2","Pinkney-Ashnet-ILK-A1-LM-2A_S31"
"357","ILK-A1-LM-2","Pinkney-Ashnet-ILK-A1-LM-2B_S32"
"359","ILK-A1-MIN-1","Pinkney-Ashnet-ILK-A1-MIN-1A_S11"
"361","ILK-A1-MIN-1","Pinkney-Ashnet-ILK-A1-MIN-1B_S12"
"363","ILK-A1-MIN-2","Pinkney-Ashnet-ILK-A1-MIN-2A_S35"
"365","ILK-A1-MIN-2","Pinkney-Ashnet-ILK-A1-MIN-2B_S36"
"367","ILK-A2-FH-1","Pinkney-Ashnet-ILK-A2-FH-1A_S15"
"369","ILK-A2-FH-1","Pinkney-Ashnet-ILK-A2-FH-1B_S16"
"371","ILK-A2-FH-2","Pinkney-Ashnet-ILK-A2-FH-2A_S39"
"373","ILK-A2-FH-2","Pinkney-Ashnet-ILK-A2-FH-2B_S40"
"375","ILK-A2-LM-1","Pinkney-Ashnet-ILK-A2-LM-1A_S13"
